US Central/Dallas,us-central-017.totallyacdn.com,443
US Central/Dallas,us-central-059.totallyacdn.com,443
US Central/Dallas,us-central-030.totallyacdn.com,443
US Central/Dallas,us-central-065.totallyacdn.com,443
US Central/Dallas,us-central-074.totallyacdn.com,443
US Central/Dallas,us-central-066.totallyacdn.com,443
US Central/Dallas,us-central-085.totallyacdn.com,443
US Central/Dallas,us-central-005.totallyacdn.com,443
US Central/Dallas,us-central-004.totallyacdn.com,443
US Central/Dallas,us-central-084.totallyacdn.com,443
US Central/Dallas,us-central-035.totallyacdn.com,443
US Central/Dallas,us-central-082.totallyacdn.com,443
US Central/Dallas,us-central-014.totallyacdn.com,443
US Central/Dallas,us-central-018.totallyacdn.com,443
US Central/Dallas,us-central-064.totallyacdn.com,443
US Central/Dallas,us-central-083.totallyacdn.com,443
US Central/Atlanta,us-central-053.totallyacdn.com,443
US Central/Atlanta,us-central-094.totallyacdn.com,443
US Central/Atlanta,us-central-061.totallyacdn.com,443
US Central/Atlanta,us-central-006.totallyacdn.com,443
US Central/Atlanta,us-central-028.totallyacdn.com,443
US Central/Atlanta,us-central-033.totallyacdn.com,443
US Central/Atlanta,us-central-068.totallyacdn.com,443
US Central/Atlanta,us-central-093.totallyacdn.com,443
US Central/Atlanta,us-central-076.totallyacdn.com,443
US Central/Atlanta,us-central-091.totallyacdn.com,443
US Central/Atlanta,us-central-019.totallyacdn.com,443
US Central/Atlanta,us-central-069.totallyacdn.com,443
US Central/Atlanta,us-central-090.totallyacdn.com,443
US Central/Atlanta,us-central-013.totallyacdn.com,443
US Central/Atlanta,us-central-032.totallyacdn.com,443
US Central/Atlanta,us-central-051.totallyacdn.com,443
US Central/Atlanta,us-central-092.totallyacdn.com,443
US East/Chicago,us-east-033.totallyacdn.com,443
US East/Chicago,us-east-069.totallyacdn.com,443
US East/Chicago,us-east-076.totallyacdn.com,443
US East/Chicago,us-east-085.totallyacdn.com,443
US East/Chicago,us-east-070.totallyacdn.com,443
US East/New York,us-east-075.totallyacdn.com,443
US East/New York,us-east-094.totallyacdn.com,443
US East/New York,us-east-103.totallyacdn.com,443
US East/New York,us-east-102.totallyacdn.com,443
US East/Miami,us-east-014.totallyacdn.com,443
US East/Miami,us-east-066.totallyacdn.com,443
US East/Miami,us-east-087.totallyacdn.com,443
US East/Miami,us-east-072.totallyacdn.com,443
US East/Miami,us-east-001.totallyacdn.com,443
US East/Miami,us-east-104.totallyacdn.com,443
US East/Washington DC,us-east-109.totallyacdn.com,443
US East/Washington DC,us-east-108.totallyacdn.com,443
US East/Washington DC,us-east-091.totallyacdn.com,443
US East/New York,us-east-111.totallyacdn.com,443
US West/Los Angeles,us-west-005.totallyacdn.com,443
US West/Los Angeles,us-west-064.totallyacdn.com,443
US West/Los Angeles,us-west-068.totallyacdn.com,443
US West/Seattle,us-west-058.totallyacdn.com,443
US West/Seattle,us-west-073.totallyacdn.com,443
Canada East/Toronto,ca-037.totallyacdn.com,443
Canada East/Toronto,ca-023.totallyacdn.com,443
Canada East/Toronto,ca-024.totallyacdn.com,443
Canada East/Toronto,ca-049.totallyacdn.com,443
Canada East/Toronto,ca-031.totallyacdn.com,443
Canada East/Montreal,ca-036.totallyacdn.com,443
Canada East/Montreal,ca-042.totallyacdn.com,443
Canada East/Montreal,ca-040.totallyacdn.com,443
